#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_mul+is_zxxx,#item+rem+i_qcc+is_zxxx+ix_xywdatap1282,#item+rem+i_qcc+is_zxxx+ix_xywdatap1630,#item+rem+i_qcc+is_zxxx+ix_xywdatap1793,#item+rem+i_qcc+is_zxxx+ix_xywdatap5869
16_78,Q14296,P78,top-level Internet domain,,,,.mz
16_238,Q192824,P238,IATA airport code,Key:iata,https://www.iata.org/en/publications/directories/code-search/?airport.search=$1,[A-Z]{3},MPM
16_239,Q207529,P239,ICAO airport code,Key:icao,https://www.flightradar24.com/data/airports/$1,"([A-Z]{2}|[CKY][A-Z0-9])([A-Z]{2}|[0-9]{2,4})",FQMA
16_281,Q37447,P281,postal code,Key:addr:postcode|Key:postal_code,,,
16_296,Q14565734,P296,railway station code,Key:railway:ref,,,
16_297,Q1140221,P297,ISO 3166-1 alpha-2 code,Key:ISO3166-2,https://www.iso.org/obp/ui/#iso:code:3166:$1,[A-Z]{2},MZ
16_298,Q1341492,P298,ISO 3166-1 alpha-3 code,,,[A-Z]{3},MOZ
16_299,Q2725758,P299,ISO 3166-1 numeric code,,,[0-9]{3},508
16_300,Q133153,P300,ISO 3166-2 code,,,"[A-Z]{2}-[A-Z0-9]{1,3}",MZ-L
16_402,Q936,P402,OpenStreetMap relation ID,,https://www.openstreetmap.org/relation/$1,"[1-9][0-9]{0,9}",2908441
16_421,Q12143,P421,time zone,Key:timezone,,,UTC+02:00
16_670,Q1413235,P670,house number,Key:addr:housenumber,,,
16_901,Q3063249,P901,FIPS 10-4,,,"[A-Z]{2}([1-9][0-9]|[0-9A-Z][1-9])?",MZ04
16_984,Q180672,P984,IOC country code,,,[A-Z]{3},MOZ
16_1282,Q936,P1282,OpenStreetMap tag or key,,https://wiki.openstreetmap.org/wiki/$1,"Key:.{1,255}|Tag:.{1,255}=.{1,255}|Relation:.{1,255}|Role:.{1,255}",
16_1566,Q830106,P1566,GeoNames ID,,,"[1-9][0-9]{0,8}",1040649
16_1624,Q18572216,P1624,MarineTraffic Port ID,,https://www.marinetraffic.com/en/ais/details/ports/$1,"[1-9]\d{0,4}",1225
16_1937,Q499348,P1937,UN/LOCODE,Key:ref:LOCODE,https://locode.info/$1,,MZMPM
16_1945,Q79007,P1945,street key,Key:addr:street,,,
16_2082,Q7865431,P2082,UN M.49 code,,,[0-9]{3},508
16_3068,Q7950858,P3068,WIPO ST.3,,,[A-Z]{2},MZ
16_8119,Q3013341,P8119,HASC,,,"[A-Z]{2}(\.[A-Z]{2}){0,2}",MZ.MP
17_7200235,Q7200235,,Place code,,,,MZ05
17_23582265,Q23582265,,Open Location Code,,,,5G6J2HJF+PG
17_43649390,Q43649390,,Wikidata Q identifier,,https://www.wikidata.org/wiki/$1,Q[1-9]\d*,Q379658
