#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wdatap1282
,P275,Key:license
,P281,Key:addr:postcode|Key:postal_code
,P296,Key:railway:ref|Key:ref:train
,P300,Key:ISO3166-2
,P8626,Key:opening_hours
,P8627,Key:opening_hours
,P8645,Key:ref:EU:ENTSOE_EIC
,P9737,Key:ref:wmo
,P10016,Key:ref:refuges.info
,P10682,Key:ref:US:EIA
,P10906,Key:leaf_cycle
,P2257,Key:interval
,P359,Key:ref:rce
,P373,Key:wikimedia_commons
,P374,Key:ref:INSEE
,P380,Key:ref:mhs
,P439,Key:de:amtlicher_gemeindeschluessel
,P457,Key:related_law
,P539,Key:ref:FR:museofile
,P571,Key:start_date
,P576,Key:end_date
,P580,Key:start_date
,P582,Key:end_date
,P587,Key:seamark:radio_station:mmsi|Key:seamark:virtual_aton:mmsi
,P590,Key:gnis:feature_id
,P641,Key:sport
,P649,Key:ref:nrhp
,P669,Key:addr:street
,P670,Key:addr:housenumber
,P722,Key:uic_ref
,P757,Key:ref:whc
,P772,Key:ref:ine
,P791,Key:ref:isil
,P808,Key:ref:bic
,P813,Key:check_date
,P836,Key:ref:gss
,P854,Key:source:url
,P856,Key:contact:website|Key:website
,P882,Key:nist:fips_code
,P912,Key:amenity
,P921,Key:subject:wikidata
,P964,Key:ref:at:gkz
,P968,Key:email|Key:contact:email
,P981,Key:ref:woonplaatscode
,P1011,Key:except
,P1064,Key:gauge
,P1077,Key:koatuu
,P1082,Key:population
,P1083,Key:capacity
,P1101,Key:building:levels
,P1139,Key:building:levels:underground
,P1216,Key:HE_ref
,P1281,Key:woeid
,P1329,Key:contact:phone|Key:phone
,P1336,Key:claimed_by
,P1419,Key:format
,P1448,Key:official_name
,P1616,Key:ref:FR:SIREN
,P1619,Key:opening_date
,P1684,Key:inscription
,P1716,Key:brand:wikidata
,P1717,Key:ref:sandre
,P1764,Key:ref:OnroerendErfgoed
,P1813,Key:short_name
,P1848,Key:ref:FR:INPN
,P1889,Key:not:name
,P1893,Key:openplaques:id
,P1937,Key:ref:LOCODE
,P1947,Key:mapillary
,P1968,Key:contact:foursquare
,P2002,Key:contact:twitter|Key:twitter
,P2003,Key:contact:instagram
,P2012,Key:cuisine
,P2013,Key:contact:facebook
,P2043,Key:length
,P2044,Key:ele
,P2048,Key:height
,P2049,Key:width
,P2253,Key:ref:edubase
,P2326,Key:GNS:id
,P2348,Key:historic:period
,P2436,Key:voltage
,P2547,Key:circumference
,P2555,Key:fee
,P2572,Key:hashtags
,P2614,Key:whc:criteria
,P2699,Key:url
,P2815,Key:esr:user
,P2846,Key:wheelchair
,P2847,Key:contact:google_plus
,P2899,Key:min_age
,P2900,Key:fax|Key:contact:fax
,P2951,Key:ref:at:bda|Key:ref:AT:bda
,P2980,Key:ref:arlhs
,P3025,Key:opening_hours
,P3027,Key:opening_hours
,P3028,Key:opening_hours
,P3108,Key:contact:yelp
,P3134,Key:contact:tripadvisor
,P3202,Key:ref:UAI
,P3215,Key:ref:FR:SIRET
,P3424,Key:ref:nid
,P3562,Key:ref:admiralty
,P3563,Key:ref:nga
,P3608,Key:ref:vatin
,P3723,Key:ref:uscg
,P3789,Key:contact:telegram
,P3836,Key:contact:pinterest
,P3863,Key:ref:ef
,P3918,Key:ref:FR:RNA
,P3920,Key:ref:ccg
,P4033,Key:contact:mastodon
,P4058,Key:ref:FR:FINESS
,P4135,Key:max_age
,P4136,Key:ref:wigos
,P4184,Key:incline
,P4238,Key:contact:webcam|Tag:surveillance=webcam
,P4533,Key:ref:ruian:street
,P4755,Key:ref:crs
,P4856,Key:addr:conscriptionnumber
,P5208,Key:ref:bag
,P5423,Key:level
,P6082,Key:nycdoitt:bin
,P7526,Key:ref:ruian
,P7606,Key:ref:ruian
,P7625,Key:ref:wpi
,P7883,Key:ref:hmdb
,P8414,Key:ref:FR:Allocine
,P8430,Key:ref:wien:kultur
,P240,Key:faa
,P101,Key:craft
,P137,Key:operator:wikidata
,P138,Key:name:etymology
,P149,Key:building:architecture
,P225,Key:species:wikidata
,P17,Key:country|Key:addr:country
,P18,Key:mapillary|Key:image|Key:wikimedia_commons|Key:kartaview
,P140,Key:religion|Key:denomination
,P170,Key:artist:wikidata
,P186,Key:building:material
,P238,Key:iata
,P239,Key:icao
82,Q82,Tag:amenity=printer|https://www.cp3mag.com/the-printer-could-not-connect-to-web-services/
143,Q143,Key:esperanto|Key:language:eo|Key:name:eo
144,Q144,Key:dog
150,Q150,Key:language:fr
188,Q188,Key:language:de
256,Q256,Key:language:tr
283,Q283,Tag:resource=water
286,Q286,Tag:clothes=leather
309,Q309,Key:historic
349,Q349,Key:sport|Tag:sport=multi
355,Q355,Key:contact:facebook|Key:facebook
376,Q376,Tag:amenity=clock
418,Q418,Key:telecom
432,Q432,Tag:religion=muslim
514,Q514,Tag:healthcare:speciality=anatomy
515,Q515,Tag:addr=city|Tag:place=city
532,Q532,Tag:place=village
542,Q542,Tag:sport=athletics
565,Q565,Key:wikimedia_commons
718,Q718,Tag:sport=chess
748,Q748,Tag:religion=buddhist
753,Q753,Tag:resource=copper
756,Q756,Key:plant
809,Q809,Key:language:pl
847,Q847,Tag:sport=tennis
866,Q866,Key:contact:youtube
870,Q870,Key:train
897,Q897,Tag:resource=gold
918,Q918,Key:contact:twitter
936,Q936,Tag:map_source=OpenStreetMap
1075,Q1075,Key:colour
1321,Q1321,Key:language:es
1420,Q1420,Key:motorcar
1455,Q1455,Tag:sport=field_hockey
1501,Q1501,Tag:leisure=swimming_pool
1525,Q1525,Tag:junction=roundabout
1566,Q1566,Key:tobacco
1734,Q1734,Tag:sport=volleyball
1889,Q1889,Key:diplomatic
2736,Q2736,Tag:sport=soccer
2977,Q2977,Tag:building=cathedral
3914,Q3914,Tag:amenity=school
3918,Q3918,Tag:amenity=university
3930,Q3930,Tag:sport=table_tennis
3947,Q3947,Tag:building=house
3957,Q3957,Tag:place=town
4022,Q4022,Tag:type=waterway|Tag:waterway=river
4213,Q4213,Tag:man_made=telescope
4421,Q4421,Tag:natural=wood
4539,Q4539,Tag:operator:type=cooperative
4543,Q4543,Tag:sport=beachvolleyball
4916,Q4916,Key:currency:EUR
4917,Q4917,Key:currency:USD
5043,Q5043,Tag:religion=christian
5084,Q5084,Tag:place=hamlet
5107,Q5107,Tag:place=continent
5119,Q5119,Key:capital|Role:admin_centre|Tag:capital=yes
5320,Q5320,Tag:power=switch
5367,Q5367,Tag:sport=motor
5369,Q5369,Tag:sport=baseball
5372,Q5372,Tag:sport=basketball
5375,Q5375,Tag:sport=cricket
5377,Q5377,Tag:sport=golf
5378,Q5378,Tag:sport=rugby
5386,Q5386,Tag:sport=car_racing
5503,Q5503,Tag:railway=subway
5638,Q5638,Key:bus
5639,Q5639,Key:trolleybus
5849,Q5849,Tag:sport=rugby|Tag:sport=rugby_union
6256,Q6256,Tag:admin_level=2|Tag:place=country
6661,Q6661,Tag:cuisine=french
6663,Q6663,Tag:cuisine=burger
7075,Q7075,Tag:amenity=library
7094,Q7094,Tag:healthcare:speciality=biochemistry
7193,Q7193,Tag:healthcare:speciality=microbiology
7291,Q7291,Tag:sport=badminton
7432,Q7432,Key:species
7707,Q7707,Tag:sport=water_polo
7718,Q7718,Tag:sport=ski_jumping
7737,Q7737,Key:language:ru
7863,Q7863,Tag:amenity=shower|Tag:amenity=showers
7867,Q7867,Tag:healthcare:speciality=psychiatry
7892,Q7892,Key:drinking_water
7913,Q7913,Key:language:ro
7953,Q7953,Tag:denomination=zen
8004,Q8004,Tag:highway=traffic_signals|Tag:traffic_signals=traffic_light
8010,Q8010,Key:crossing|Tag:highway=crossing|Tag:footway=crossing
8063,Q8063,Tag:natural=rock|Tag:seamark:type=rock
8072,Q8072,Tag:natural=volcano
8142,Q8142,Key:currency
8146,Q8146,Key:currency:JPY
8409,Q8409,Tag:historic:period=alexander_the_great
8418,Q8418,Tag:sport=handball|Tag:sport=team_handball
8432,Q8432,Key:historic:civilization
8473,Q8473,Key:military
8502,Q8502,Tag:natural=peak
8514,Q8514,Tag:natural=desert
8524,Q8524,Tag:leisure=pitch|Tag:sport=soccer
8609,Q8609,Tag:healthcare:speciality=hypnosis
9089,Q9089,Tag:religion=hindy
9174,Q9174,Key:religion
9199,Q9199,Key:name:vi
9232,Q9232,Tag:religion=jain
9259,Q9259,Tag:heritage:operator=whc
9268,Q9268,Tag:religion=jewish
9316,Q9316,Tag:religion=sikh
9350,Q9350,Tag:sport=yoga
9436,Q9436,Tag:denomination=digambara
9581,Q9581,Tag:religion=confucian
9585,Q9585,Tag:denomination=shia
9592,Q9592,Tag:denomination=catholic|Tag:denomination=roman_catholic
9598,Q9598,Tag:religion=taoist
9601,Q9601,Tag:religion=zoroastrian
9603,Q9603,Tag:denomination=sufi
9842,Q9842,Tag:isced:level=1
10145,Q10145,Tag:historic=milestone
10379,Q10379,Tag:healthcare:speciality=cardiology
10384,Q10384,Tag:healthcare:speciality=geriatrics
10811,Q10811,Tag:zoo=reptile
10884,Q10884,Tag:natural=tree
10962,Q10962,Tag:sport=rugby|Tag:sport=rugby_league
11035,Q11035,Tag:amenity=telephone
11180,Q11180,Tag:healthcare:speciality=internal
11292,Q11292,Tag:reef=coral
11315,Q11315,Tag:shop=mall
11416,Q11416,Key:gambling
11417,Q11417,Tag:sport=martial_arts
11419,Q11419,Tag:sport=karate
11420,Q11420,Tag:sport=judo
11442,Q11442,Key:bicycle
11446,Q11446,Key:ship
11469,Q11469,Key:recycling:glass
11500,Q11500,Key:area
11635,Q11635,Tag:amenity=theatre
11642,Q11642,Tag:shop=pottery
11652,Q11652,Key:frequency
11691,Q11691,Tag:amenity=stock_exchange
11707,Q11707,Key:restaurant|Tag:amenity=restaurant
11756,Q11756,Tag:historic:civilization=prehistoric
11759,Q11759,Tag:historic:period=stone-age
11761,Q11761,Tag:historic:period=bronze-age
11764,Q11764,Tag:historic:period=iron-age
11765,Q11765,Key:fee
11768,Q11768,Tag:historic:civilization=ancient_egyptian
11772,Q11772,Tag:historic:civilization=ancient_greece
12143,Q12143,Key:timezone
12162,Q12162,Tag:railway=buffer_stop
12271,Q12271,Tag:artwork_type=architecture
12280,Q12280,Key:bridge|Tag:man_made=bridge|Tag:seamark:type=bridge
12284,Q12284,Tag:waterway=canal
12323,Q12323,Tag:waterway=dam
12493,Q12493,Tag:roof:shape=dome|Tag:tower:construction=dome
12505,Q12505,Tag:cuisine=russian
12511,Q12511,Tag:highway=steps
12516,Q12516,Tag:tomb=pyramid
12518,Q12518,Tag:building=tower|Tag:man_made=tower
12544,Q12544,Tag:historic:civilization=byzantine
12554,Q12554,Tag:historic:civilization=middle-ages
12567,Q12567,Tag:historic:civilization=vikingian
12570,Q12570,Tag:bridge:structure=suspension
12731,Q12731,Tag:noexit=yes
12743,Q12743,Key:ford|Tag:ford=yes
12783,Q12783,Tag:garden:style=english
12877,Q12877,Tag:created_by=JOSM
13158,Q13158,Tag:crop=strawberry
13233,Q13233,Key:ice_cream
13499,Q13499,Key:payment:debit_cards
13964,Q13964,Tag:advertising=column
14092,Q14092,Tag:leisure=sports_hall
14373,Q14373,Key:fishing|Tag:sport=fishing
14378,Q14378,Tag:building:architecture=neoclassicism
14745,Q14745,Key:furniture
14748,Q14748,Tag:amenity=table
14922,Q14922,Tag:sport=table_soccer
14970,Q14970,Key:tanker
15026,Q15026,Tag:amenity=chair|Tag:amenity=stool
15262,Q15262,Tag:railway=ferry
15284,Q15284,Tag:place=municipality
15324,Q15324,Tag:natural=water
15835,Q15835,Tag:garden:style=japanese
16068,Q16068,Key:currency:DEM
